id:ID,action,source_project,target_risk,expected_effect,required_equipment,related_standard,responsible_role,:LABEL
Strat_001,"기존 진입로와 동일한 수준의 콘크리트 포장 임시 우회도로를 신설하고, PE드럼 및 경광등 등 교통안전시설물을 즉시 배치하여 리스크 해소_평택 브레인시티 1단계",평택 브레인시티 1단계,Risk_001,"진입로 단절로 인한 막대한 영업 손실 민원 발생으로 본공사 착수가 불가능해지며, 야간 통행 시 안전사고 위험 노출",,,,Strategy
Strat_002,"개정된 기준에 맞추어 교통처리계획을 재수립하고, 과속단속카메라, 쏠라윙카, PE드럼 등 필수 교통안전시설물을 대거 추가 배치_서울고덕강일지구 방음시설",서울고덕강일지구 방음시설,Risk_002,"작업장 교통관리기준 미달로 관할청의 도로 차단 심의가 반려되어 공정이 지연되고, 고속도로 주행 차량과 작업자가 대형 사고 위험에 노출",,기준,,Strategy
Strat_003,"민원 해소 및 공사 속개를 위해 당일 굴착·복구를 시행하고, 차량 통행 유지를 위해 2단계 교통전환(Traffic Switch) 우회도로 신설_안성구리 광역상수도 이설공사",안성구리 광역상수도 이설공사,Risk_003,사전 조치 없는 도로 전면 통제로 인해 극심한 차량 정체 민원이 폭주하여 관로 시공 공정이 전면 중단될 위기 직면,,,,Strategy
Strat_004,"장비의 안전한 진출입 및 작업 반경 확보를 위해 공사용 가설도로를 추가 조성하고, 골재 치환 및 복공판 보강을 통해 지내력 확보_화양전력구",화양전력구,Risk_004,"대형 장비 주행이 불가하고, 크레인 작업 시 아웃트리거 지지력 미확보로 인한 장비 전도 및 중대재해 발생 우려로 본공사 지연",,,,Strategy
Strat_005,"공사 중단 후 즉각적으로 아파트 주민용 임시 진입도로(우회도로)를 신설하고, 교통 신호수 및 안내 간판을 전면 배치하여 민원 해결_양주회천 택지개발사업",양주회천 택지개발사업,Risk_005,"사전 통보 없는 도로 차단으로 입주민 통행 불편 민원이 폭주하여 공사가 중단되고, 긴급 우회도로 개설을 위한 추가 비용 발생",,,,Strategy
Strat_006,민원 조기 해소 및 원활한 진출입로 확보를 위해 파손된 기존 도로 구간을 시공사 직영으로 긴급 재포장(아스콘 덧씌우기) 실시_김포-관산 도로,김포-관산 도로,Risk_006,도로 포장면 파손으로 주민 통행 불편 및 비산먼지 민원이 폭주하여 공사 차량 진입이 통제되고 본공사가 중단됨,,,시공사,Strategy
Strat_007,"파손된 가설방음벽 철거 후 지주 기초를 보강하여 재설치하고, 피해 차량에 대해서는 영업배상 보험 처리를 통해 신속하게 합의_옥동-농소 도로",옥동-농소 도로,Risk_007,"태풍 내습 시 강풍을 버티지 못한 가설방음벽이 전도되어 인근 주차 차량을 파손하고, 피해보상 및 우회로 통제 등 피해 발생",,,,Strategy
Strat_008,"기계타설 대신 인력타설 공법으로 전면 변경하고, 심야 시간에 고속도로 차로를 차단한 후 야간 인력포장을 통해 접속부 완료_상주-영천 고속도로 1공구",상주-영천 고속도로 1공구,Risk_008,"기계포설 무산으로 인력타설로 변경되었으며, 교통 통제 시간 부족으로 주간 작업이 불가하여 전체 공기 연장 위기",,,,Strategy
Strat_009,• 보안물건 인접 구간은 초기부터 기계 굴착(할암)으로 도급 내역 반영. • 인허가 반려 시 대안 공법 전환을 위한 Contingency 조항 계약 편입._노포북정 3공구,노포북정 3공구,Risk_009,• 갱구부 굴착 공정 전면 마비. • '유압식 할암'으로 전면 설계변경 시행 및 작업 효율 급감으로 원가 4.4% 상승.,,,,Strategy
Strat_010,• 발주처에 대항력 있는 '행정 명령에 의한 공기 지연' 실정보고 추진. • 도심지 터널은 초기부터 1일 발파 횟수를 보수적으로 축소 설계._오남수동도로,오남수동도로,Risk_010,• 1일 4회 → 2회 발파로 사이클 반토막. • 투입비 3.8억 원 이상 증가 및 준공일 지연 리스크.,,,발주처,Strategy
Strat_011,• 굴착 용수와 타설 폐수의 성상을 분리 분석하여 복합 수처리 시설 설계. • pH 저감 및 약품 자동 투입 장치 비용을 내역에 명시적 반영._새만금전주 6공구,새만금전주 6공구,Risk_011,• 대관 방류 승인 취소로 터널 굴착 전면 중단. • 알칼리성 수질 중화를 위한 화학적 고도처리 시설 긴급 추가 설치(수억 원).,,,,Strategy
Strat_012,• 설계 도면과 지적도를 3D 하이라이팅하여 사유지 침범 여부 전수 검토. • 보상 미완료 시 장비 투입 금지 및 발주처 귀책 공기 연장 선제 제기._수인선 2-2,수인선 2-2,Risk_012,• 지주 민원으로 공사 즉각 중단 명령 하달. • 발주처 보상 지연 시 시공사가 자체 자금(억대)으로 선보상 합의 강요 당함.,,,발주처,Strategy
Strat_013,• 산림/지적 대장 사전 확인하여 재선충 방제 등 특수 인허가 용역비 반영. • 인허가 완료 기한(최소 6개월)을 갱구 굴착의 Critical Path로 설정._새만금전주 5공구,새만금전주 5공구,Risk_013,• 인허가 미승인으로 장비 진입로 개설 및 수목 벌채 불가능 (착공 불가). • 용역비 실정보고 및 고시 대기 기간 수개월간 현장 유지비 손실.,,,,Strategy
Strat_014,침수 구간 긴급 뻘 청소 시행 및 대용량 양수기 8대를 현장에 추가 전진 배치하여 재발 방지_진접선 3공구,진접선 3공구,Risk_014,궤도 및 전력/통신선로가 전면 침수되고 대량의 뻘이 퇴적되어 핵심 시설물 파손 및 공기 지연 발생,,,,Strategy
Strat_015,증가된 유입량을 완벽히 처리할 수 있도록 오폐수 처리시설을 신속히 추가 설치 및 증설 완료_삼성-동탄 2공구,삼성-동탄 2공구,Risk_015,"오폐수 처리 용량 부족으로 방류수 수질 기준을 위반하게 되어, 환경단속 및 공사 중지 행정처분 위기 직면",,,,Strategy
Strat_016,"기존 관정 사용을 즉각 제한하고, 살수차를 추가 임대 투입하여 외부에서 터널 작업용수를 대체 공급 조치_새만금전주 6공구",새만금전주 6공구,Risk_016,"식수 및 농업용수 부족으로 인한 주민들의 거센 민원이 발생하고, 환경영향평가 위반에 따른 공사중위 위험 처함",,,,Strategy
Strat_017,법적 수질 관리를 위해 이동식 오탁수 처리시설을 현장에 긴급 설치하고 유출수를 정화 후 방류하도록 설계변경_김포-관산 도로,김포-관산 도로,Risk_017,오탁수 미처리 방류 시 부유물질(SS) 허용 기준치 초과로 인한 수질 오염 및 행정처분(공사중지) 우려 고조,,,,Strategy
Strat_018,"현장 용출수 지속 발생에 따른 필수 조치임을 입증하고, 후속 공정 기간에 해당하는 운영비를 실정보고하여 반영_오남수동도로",오남수동도로,Risk_018,굴착 후 라이닝 완료 시점까지 수처리 시설을 가동해야 함에 따라 추가 운영비가 시공사 실행원가로 전가됨,,,,Strategy
Strat_019,장비 조합을 변경하고 터널 인근 부지를 추가 임대하여 안전한 적적공간 확보_새만금전주 6공구,새만금전주 6공구,Risk_019,덤프트럭 하역 시 장비 전도 및 추락 등 중대재해 발생 위험 고조,,,,Strategy
Strat_020,내역에 누락된 야적장 부지 조성 비용을 발주처에 실정보고하여 비용 반영 및 부지 확보_평화의댐 치수,평화의댐 치수,Risk_020,골재 부족으로 대규모 타설이 중지되어 댐체 구조물 품질 저하 및 공기 지연 우려,,,발주처,Strategy
Strat_021,법적 기준을 만족하는 안전시설을 즉각 내역에 반영하고 조기 설치하여 인허가 취득_울릉도일주도로,울릉도일주도로,Risk_021,화약류 양수 및 사용 불허로 인해 터널 발파 공정이 중단되고 치명적인 공기 지연 발생,,기준,,Strategy
Strat_022,유휴 부지에 집하장을 조성하고 폐기물 소운반 및 집적 비용을 실정보고 승인 득함_부산명지 택지,부산명지 택지,Risk_022,폐기물 방치로 후속 본공사 착수가 불가해지며 시공사 예산으로 조성비가 지출됨,,,,Strategy
Strat_023,콘크리트 타설 및 휀스 설치 비용을 실정보고하여 적법한 야적 기반 조성_서울고덕 강일,서울고덕 강일,Risk_023,부적절한 적치 시 침출수 발생으로 원지반 오염 지적 및 환경 민원 유발,,,,Strategy
Strat_024,반출 지연을 입증하여 후방 집토를 위해 투입된 소운반비를 발주처에 실정보고_오남수동 도로,오남수동 도로,Risk_024,포화된 환경에서 터널 굴착이 불가능해지고 후방 집토를 위한 장비비가 급증함,,,발주처,Strategy
Strat_025,외부 임대 부지를 확보하고 비산먼지 방지 시설 및 소운반비를 설계변경 반영 추진_김포-관산 도로,김포-관산 도로,Risk_025,수십만 루베의 왕복 토사 운반비 및 연간 억대 부지 임대료가 원가로 발생함,,,,Strategy
Strat_026,분할된 동선에 맞게 세륜시설 3개소를 긴급 추가 설계 반영하여 먼지 완벽 제어_성남복정 택지,성남복정 택지,Risk_026,세륜기 부족으로 도로 비산먼지 유출 및 인근 학교 환경 민원 단속 적발 우려,,,,Strategy
Strat_027,신속한 보험처리 및 보상 완료 후 전 구간 지주 기초를 와이어로프로 보강 재설치_옥동-농소 도로,옥동-농소 도로,Risk_027,"주차 차량 파손 사고 발생 및 제3자 피해보상, 가설비 재설치 비용 원가 발생",,,,Strategy
Strat_028,이동식 살수시설을 긴급히 추가 배치하고 환경관리비 예산을 추가 집행 조치_평택 화양지구,평택 화양지구,Risk_028,지자체 비산먼지 특별단속 시 행정처분에 의한 공사 전면 중단 우려 직면,,,,Strategy
Strat_029,이동식 크라샤로 장비를 변경하여 단기 생산 후 신속 철거 및 장소 이동으로 민원 제어_칠북-북면 도로,칠북-북면 도로,Risk_029,주민 집단 민원 및 조업 정지 처분 위기에 직면하고 부지 임대료가 폭증할 우려,,,,Strategy
Strat_030,"실제 지반 조건(암선 및 암질)을 재조사하여 사면 슬라이딩 구간에 대한 사면 안정성 검토를 재수행한 후, 적절한 보강 공법을 적용하여 설계변경 추진함_광양시 우회도로",광양시 우회도로,Risk_030,"불량한 암반과 토사층의 경계면을 따라 대규모 사면 슬라이딩이 발생하여 굴착 공사가 전면 중단되고, 막대한 사면 보강 비용이 추가로 발생함",,,,Strategy
Strat_031,"붕괴 구간 및 인접 구간에 대해 한계평형해석을 재수행하여, 안정성이 확보되는 완만한 기울기로 절취 사면 경사를 대폭 완화(구배 조정)함_오남수동도로",오남수동도로,Risk_031,깎기 비탈면의 일부 구간에서 대형 붕괴(원호활동 파괴 등)가 발생하고 상부 인장균열 발생으로 인접 구간까지 연쇄 붕괴될 위험이 극도로 고조됨,,,,Strategy
Strat_032,"원인 분석을 통해 단순 복구가 아닌 현장 여건에 맞는 보강 공법(어스앵커, 숏크리트 등)을 재검토하고 발주처에 설계변경 승인을 득하여 시공함_여수시우회도로",여수시우회도로,Risk_032,강우 시 과다 발달된 절리면 사이로 우수가 침투하여 수압이 급증하면서 절토 사면이 대규모로 유실되고 하부 작업장의 안전이 직접적으로 위협받음,,,발주처,Strategy
Strat_033,"비탈면 안정해석을 재수행하여, 앵커(Anchor), 쏘일네일링(Soil Nailing), 계단식 옹벽, 두꺼운 식생기반 취부공(T=10cm) 및 낙석방지 울타리를 종합적으로 적용하여 전면 보강함_칠북-북면간 도로",칠북-북면간 도로,Risk_033,비탈면 절취 후 집중호우 시 지층수 침투 및 수직절리를 통한 수압 급상승으로 인해 비탈면이 파괴되고 대규모 슬라이딩 붕괴 사고가 발생함,,,,Strategy
Strat_034,"사면 요철 현황을 정밀 측량하여 증빙 자료를 작성하고, 누락된 낙석방지망 15% 할증 수량을 재산출하여 발주처에 실정보고 및 도급 내역 증액을 추진함_평화의댐 치수능력증대",평화의댐 치수능력증대,Risk_034,"실제 사면의 요철과 굴곡부로 인해 도면상의 평면 수량 대비 낙석방지망 자재가 턱없이 부족해져 시공이 중단되고, 추가 자재 반입을 위한 시공사 원가가 초과됨",,,발주처,Strategy
Strat_035,"한계평형해석 등 사면안정성 검토를 재수행하여, 무보강 구간에 락볼트 및 숏크리트 등 강성 보강공법을 추가 반영하고 즉각 시공하여 안정성을 확보함_오남수동도로",오남수동도로,Risk_035,"이완된 암괴가 강우나 해빙기에 붕괴되어 대규모 사면 슬라이딩으로 이어지고, 하부 굴착 장비 및 근로자 매몰 등 치명적인 중대재해가 발생할 위험이 고조됨",,,,Strategy
Strat_036,"낙석 중량 및 에너지를 현장 조건에 맞게 재산정하고, 그 결과(흡수 에너지 용량)를 충족할 수 있도록 고강도 낙석방지울타리로 설계를 보완하여 재설치함_오남수동도로",오남수동도로,Risk_036,"실제 대형 낙석 발생 시 울타리가 충격 에너지를 견디지 못하고 파손되어, 하부 본선 도로의 통행 차량과 작업자를 덮치는 치명적 사고 유발 우려",,,,Strategy
Strat_037,"암 성상별로 보강공법을 세분화하여, 얇은/두꺼운 식생기반 취부공(T=3~10cm) 및 낙석방지 울타리, 낙석방망을 대대적으로 추가 설계 반영함_칠북-북면간 도로",칠북-북면간 도로,Risk_037,"우기 및 동절기 동결융해 작용에 의해 수직절리가 급격히 이완되면서 지반이 불안정해지고, 다량의 낙석이 도로부로 쏟아져 대형 안전사고를 초래함",,,,Strategy
Strat_038,일자산 사면 인접 굴착 배면에 어스앵커를 긴급 추가 설계 및 시공하여 편토압에 의한 붕괴를 선제적으로 방지함_서울지하철 923공구,서울지하철 923공구,Risk_038,"굴착이 진행됨에 따라 인접 사면에서 발생하는 거대한 편토압이 가중되어 지반이 이완되고, 가시설 덮침 및 대규모 사면 붕괴 등의 중대재해 발생 우려가 고조됨",,,,Strategy
Strat_039,"사면의 미제거 부석을 철저히 제거(스케일링)하고, 부적합한 떼붙임 대신 숏크리트 타설 및 식생매트 등 적극적인 사면보호공법으로 변경 시공함_양주회천 택지개발사업",양주회천 택지개발사업,Risk_039,"옹벽 조립 및 되메우기 작업 중 상부 암사면에서 부석이 낙하하거나 풍화된 암괴가 무너져 내려, 하부 작업자가 치명적인 피해를 입을 중대재해 위험이 큼",,,,Strategy
Strat_040,"블록 접지면 틈새 채움을 철저히 이행하고, 앵커 설치 방향 점검 및 장기 지반 거동을 고려하여 설계 및 시공을 보완함_안동댐비상여수로",안동댐비상여수로,Risk_040,"어스앵커의 긴장력이 지속적으로 상실되어 사면 보강 기능이 저하되며, 장기적으로 앵커 탈락 및 사면의 대규모 슬라이딩 붕괴 위험을 초래함",,,,Strategy
Strat_041,사면 안정성 검토를 바탕으로 갱구부 사면 안정을 위해 쏘일네일링(Soil Nailing) 공법을 신규로 추가 반영하여 보강함_부산외곽순환고속 9공구,부산외곽순환고속 9공구,Risk_041,"두꺼운 토사층에 기존의 가파른 굴착 경사를 그대로 적용할 경우, 사면 슬라이딩 파괴 및 갱구부 대형 붕괴 사고가 발생할 위험이 극도로 높아짐",,,,Strategy
Strat_042,사면 붕괴 방지 및 도로 폭 유지를 위해 성토 사면 하단부에 석축(찰쌓기) 옹벽을 별도로 추가 설계 변경하여 시공함_웅동-장유 국도확장,웅동-장유 국도확장,Risk_042,"안식각을 확보하지 못한 가파른 사면으로 인해 지반이 붕괴될 우려가 크며, 본선 도로 선형을 침범하여 공정 진행이 불가능해짐",,,,Strategy
Strat_043,워터제트 장비 추가 투입 및 심야 운행선 인접 야간 작업 할증 비용을 실정보고 통해 반영함_인천공항철도연계시설확충,인천공항철도연계시설확충,Risk_043,가시설 지지력 미확보로 인한 안전 위험과 야간 작업 비용 누락에 따른 시공사 원가 악화,,,,Strategy
Strat_044,관리기관과 협의하여 지장선로 이설 계획을 수립하고 설계변경을 통해 이설 비용을 반영함_포승-평택철도 1공구,포승-평택철도 1공구,Risk_044,물리적 간섭으로 옹벽 굴착 착수가 장기간 지연되며 선로 훼손 시 대형 철도 사고 위험 상존,,,,Strategy
Strat_045,화약류를 사용하지 않는 비발파 유압식 할암 공법으로 굴착 계획을 변경하여 인허가 문제를 해결하고 시공함_노포북정3공구,노포북정3공구,Risk_045,발파 굴착이 중단되고 부득이하게 비발파 공법(유압식 할암)으로 변경하게 되어 장비비 증가 및 공기 지연 발생,,,,Strategy
Strat_046,즉각 시공을 중단하고 유관기관과 협의하여 통신케이블을 안전 구간으로 우선 이설 조치 후 공사를 재개함_인천공항철도연계시설확충,인천공항철도연계시설확충,Risk_046,미인지 상태로 항타 강행 시 철도 핵심 통신망 절단으로 열차 운행 마비 등 대형 사고 위험 및 공기 마비,,,유관기관,Strategy
Strat_047,Fast-Track으로 안전영향평가를 선시행하고 평가 결과에 따른 감지 시설 등을 설치하여 적법하게 인허가를 조기 획득함_사상하단4공구,사상하단4공구,Risk_047,도시가스사업법에 따른 가스안전영향평가 심의 기간(최소 3개월) 동안 사면 굴착 착수가 장기간 중단됨,,,,Strategy
Strat_048,환경영향평가 협의를 준수하여 서식 구역 보호 차단망을 설치하고 포획/이주 비용을 실정보고 통해 반영함_서해선 홍성-송산 5공구,서해선 홍성-송산 5공구,Risk_048,법적 보호 조치 없이 무단 굴착 시 환경법 위반에 따른 공사 전면 중지 처분 및 사회적 민원 발생,,,,Strategy
Strat_049,강지보 보강 및 지표 시설물 보수 후 안정성 검토 용역을 통해 보강 방안 수립 후 굴착 재개_서해선 홍성-송산 전철 5공구,서해선 홍성-송산 전철 5공구,Risk_049,지표 침하로 인근 도로 및 맨홀이 파손되고 갱구부 터널 상단 붕괴 위험이 발생하여 굴착 전면 중지,,,,Strategy
Strat_050,굴진 중단 후 추가 암선 측방 확인 천공을 실시하고 지보 패턴을 토사 조건에 맞게 대폭 상향(PD-5A/5B) 변경함_김포도시철도 3공구,김포도시철도 3공구,Risk_050,"미확인 연약층 조우로 천단 침하가 급증하며 초기 지보(숏크리트 균열, 강지보 변형)가 파괴되는 붕괴 위기 발생",,,,Strategy
Strat_051,막장 안정 확보를 위해 상반 막장면에 숏크리트 뿜어붙이기 보강 공법(막장 숏크리트)을 추가 적용함_김포도시철도 3공구,김포도시철도 3공구,Risk_051,막장 토사가 지속적으로 슬라이딩 붕락하여 정상 굴진이 마비되고 작업자 안전이 심각하게 위협받음,,,,Strategy
Strat_052,"정밀 발파 패턴 관리 및 암판정을 강화하고, 초과 투입된 물량에 대해 실정보고를 통한 도급 보전 추진_새만금전주 6공구",새만금전주 6공구,Risk_052,여굴 채움용 숏크리트 투입량이 설계 대비 최대 133% 급증하여 시공사 및 하도급사 원가가 크게 악화됨,,,,Strategy
Strat_053,터널학회 자문을 통해 보약 설계 타당성을 입증하고 국토부 총사업비 심의를 통해 도급 증액(408억) 및 복구함_울산~포항 전철 2공구,울산~포항 전철 2공구,Risk_053,갱구 접속부 대규모 붕락 및 광범위한 터널 구간(1.1km) 내공 변위 발생으로 천문학적 복구 비용 발생,,,,Strategy
Strat_054,현장 여건에 맞게 장비 운용이 가능한 상·하분할 롱벤치 공법으로 설계 변경하여 시공성 확보_김포도시철도 3공구,김포도시철도 3공구,Risk_054,장비 진입 불가로 계획된 1일 2발파가 불가능해지며 상하반 교차 작업 효율 저하로 공기 지연 발생,,,,Strategy
Strat_055,천단 안정을 위해 지보패턴을 보수적인 상하분할 굴착(PS-2B)으로 대폭 상향하고 지보재를 집중 보강함_서울지하철 923공구,서울지하철 923공구,Risk_055,기존 전단면 지보(PS-4)로는 천단 안정 확보가 불가능하며 지하수 유출로 숏크리트가 탈락하는 붕락 위기,,,,Strategy
Strat_056,"발파 공법을 전면 취소하고, 비용은 높으나 진동이 없는 무진동 또는 초정밀 진동 제어 공법으로 변경 시공함_서울지하철 923공구",서울지하철 923공구,Risk_056,허용치 초과 진동으로 인한 민원 및 건물 파손 리스크로 폭약 사용 규제 및 공사 중지 위기 봉착,,,,Strategy
Strat_057,임의 투입된 바닥 보강 수량을 실측 증빙하여 도급 반영을 추진하고 지반 상이에 따른 실정보고 조치_동대구-영천전철 4공구,동대구-영천전철 4공구,Risk_057,장비 주행 및 인버트 작업이 불가하며 교란된 바닥 보강을 위해 계획 외 자재(빈배합 등)가 과다 투입되어 업체 적자 발생,,,,Strategy
Strat_058,암판정 위원회 결과를 근거로 패턴을 PD-4(분할굴착)로 즉각 변경하고 증가된 지보재 비용 승인을 득함_도담-영천전철 6공구,도담-영천전철 6공구,Risk_058,"전단면 굴착 시 막장 붕락 위험이 있으며, 분할 굴착으로 변경됨에 따라 숏크리트/록볼트 물량이 대폭 증가함",,,,Strategy
Strat_059,라이닝 폼 개조를 통해 갱문과 본선을 일체 타설하여 구조적 안정성 및 수밀성 확보_새만금전주 5공구,새만금전주 5공구,Risk_059,이음부 정밀도 저하로 인한 누수 및 토압 집중에 의한 치명적 인장 균열 발생,,,,Strategy
Strat_060,지반조건 재조사 후 구조계산 최적화 및 양측 대칭 층따기/균형 되메우기 정밀 시공 지침 수립_시흥장현지구 1공구,시흥장현지구 1공구,Risk_060,되메우기 중 구조계산을 초과하는 편토압이 작용하여 벽체 압굴 및 붕괴 직전 상황 발생,,지침,,Strategy
Strat_061,협소 구간은 대형 장비 대신 쏘일시멘트 채움 등 대체 공법을 적용하여 장비 측압 최소화_부산외곽순환고속 9공구,부산외곽순환고속 9공구,Risk_061,다짐 불량 및 급속 하중 증가로 갱문 배면 토사에 변위가 발생하고 구조물 상단에 인장균열 발생,,,,Strategy
Strat_062,록볼트가 완전히 매립되도록 현장 여건에 맞게 숏크리트 두께를 보정하고 설계변경 추진_안성-구리고속 11공구,안성-구리고속 11공구,Risk_062,록볼트 두부가 외부로 노출되어 지보 성능이 저하되고 이를 덮기 위해 숏크리트 물량 폭증,,,,Strategy
Strat_063,누락된 배수 동판 자재를 긴급 수급하여 정밀 시공하고 실정보고를 통해 도급 증액 확보_서울지하철 923공구,서울지하철 923공구,Risk_063,자재 미수급으로 인한 시공 누락 시 접속부 지하수 유입 및 동절기 지보재 동결 탈락 하자 발생,,,,Strategy
Strat_064,피암터널 상부의 편경사를 전면 수정하고 우수 정체 방지를 위한 추가 지수 대책 수립/시공_울릉도일주도로2,울릉도일주도로2,Risk_064,정체된 우수가 신축이음부로 침투하여 내부 누수 및 겨울철 콘크리트 동해(Freezing) 탈락 유발,,,,Strategy
Strat_065,외기 노출 구간에 전열선(Heat Tracing) 및 보온 단열재 보강 공법을 상향 적용하여 시공_전주-남원1공구,전주-남원1공구,Risk_065,겨울철 한파 시 배수관 내 체수 동파로 인한 누수가 노면에 얼어붙어(블랙아이스) 사고 유발,,,,Strategy
